Model,Similarity Score (%),Raw Score
gemini,69.44%,69.4400634765625
deepseek-v3.1,46.66%,46.65815541222685
claude,43.13%,43.13140869140625
mistral-medium-3-instruct,37.73%,37.73318021178931
llama-4-maverick-17b-128e-instruct,35.36%,35.35884836226068
qwen3-235b-a22b,33.73%,33.731036749828526
kimi-k2-instruct-0905,33.54%,33.54215945831711
palmyra-med-70b,32.88%,32.877581899999996
qwen3-32b,31.92%,31.92247776
gpt-oss-120b,29.41%,29.40813271959301
gemma2-9b-it,29.16%,29.155112576000004
qwq-32b,27.77%,27.76610450600547
llama-3.1-405b-instruct,25.90%,25.90162181342831
seed-oss-36b-instruct,24.87%,24.87184659753654
llama-3.3-70b-instruct,23.40%,23.40076005382882
gemma-2-9b-it,22.54%,22.54368112062311
mistral-7b-instruct-v0.3,22.50%,22.502516
gemma-2-27b-it,21.78%,21.784611656468563
chatgpt,0.00%,0.0
