Model,Similarity Score (%),Raw Score
deepseek-v3.1,40.86%,40.855322502840075
kimi-k2-instruct-0905,40.14%,40.144230276220014
mistral-medium-3-instruct,38.16%,38.16110722903352
llama-4-maverick-17b-128e-instruct,36.11%,36.10756302805037
gemini,36.02%,36.022265911102295
qwen3-235b-a22b,35.92%,35.921615314106155
claude,35.19%,35.19095516204834
qwq-32b,33.71%,33.710639598422375
seed-oss-36b-instruct,33.20%,33.19841251509577
gemma-2-9b-it,32.58%,32.58284147569053
llama-3.3-70b-instruct,32.49%,32.49133454556525
llama-3.1-405b-instruct,30.32%,30.316520178159927
gemma2-9b-it,28.52%,28.523501964000005
gemma-2-27b-it,27.39%,27.388911758663507
gpt-oss-120b,26.10%,26.10026053837686
qwen3-32b,22.87%,22.870321855999997
palmyra-med-70b,21.12%,21.1241497
mistral-7b-instruct-v0.3,15.53%,15.526344860000002
chatgpt,0.00%,0.0
