Model,Similarity Score (%),Raw Score
gemini,46.58%,46.58076477050781
claude,38.86%,38.858787536621094
chatgpt,33.59%,33.58723449707031
qwen3-32b,30.03%,30.026065708
palmyra-med-70b,26.73%,26.729853200000004
deepseek-v3.1,25.85%,25.853066134081214
llama-4-maverick-17b-128e-instruct,25.69%,25.689184284147387
llama-3.3-70b-instruct,25.35%,25.3450237247066
qwen3-235b-a22b,25.08%,25.081504200882787
kimi-k2-instruct-0905,24.05%,24.05057582028628
seed-oss-36b-instruct,23.88%,23.883181884116684
mistral-medium-3-instruct,23.81%,23.814627297764616
mistral-7b-instruct-v0.3,22.97%,22.974313300000002
qwq-32b,22.31%,22.313138727014554
gemma-2-27b-it,20.51%,20.51103280363535
gemma-2-9b-it,19.64%,19.639525952271295
llama-3.1-405b-instruct,19.52%,19.51746508269577
gemma2-9b-it,19.06%,19.062045618
gpt-oss-120b,11.84%,11.843149520575441
