Model,Similarity Score (%),Raw Score
claude,71.27%,71.271728515625
gemini,70.28%,70.2838134765625
llama-4-maverick-17b-128e-instruct,60.23%,60.2295592155597
chatgpt,59.65%,59.64533996582031
deepseek-v3.1,58.40%,58.40414478943015
kimi-k2-instruct-0905,55.97%,55.973789281729445
gpt-oss-120b,41.47%,41.4696109771082
llama-3.1-405b-instruct,41.18%,41.17553122118566
gemma-2-27b-it,40.56%,40.56053703788194
qwen3-235b-a22b,39.70%,39.69749551991038
llama-3.3-70b-instruct,39.32%,39.32114027665349
qwen3-32b,37.29%,37.28831712
mistral-medium-3-instruct,36.20%,36.19700658504032
seed-oss-36b-instruct,35.44%,35.435741175383065
palmyra-med-70b,35.08%,35.07847795
mistral-7b-instruct-v0.3,34.88%,34.88398714
gemma-2-9b-it,32.81%,32.80731901761089
gemma2-9b-it,31.56%,31.563377032
qwq-32b,31.06%,31.055828213621474
