Model,Similarity Score (%),Raw Score
gemini-2.5-flash,52.71%,52.709327697753906
claude-sonnet-4-5,51.47%,51.472513834635414
kimi-k2-instruct-0905,47.19%,47.193139710494144
mistral-7b-instruct-v0.3,46.80%,46.795192899999996
qwen3-235b-a22b,46.44%,46.44463275609375
gpt-4.1,46.43%,46.43157386779785
llama-3.1-405b-instruct,45.39%,45.38713317336957
palmyra-med-70b,42.68%,42.677885100000005
llama-4-maverick-17b-128e-instruct,39.02%,39.020832111099786
gemma2-9b-it,37.71%,37.714808747999996
qwq-32b,37.63%,37.62909922000248
qwen3-32b,37.29%,37.290642756
llama-3.3-70b-instruct,37.29%,37.288754101222544
deepseek-v3.1,36.71%,36.70654945805147
mistral-medium-3-instruct,35.96%,35.96074139859623
seed-oss-36b-instruct,33.94%,33.93612977063866
gemma-2-27b-it,33.28%,33.27997204751323
gemma-2-9b-it,33.28%,33.27703020177472
gpt-oss-120b,31.38%,31.37988031930569
