Model,Similarity Score (%),Raw Score
kimi-k2-instruct-0905,45.43%,45.43431671800086
llama-3.1-405b-instruct,45.35%,45.3533110125
mistral-medium-3-instruct,42.06%,42.05756188174262
deepseek-v3.1,40.37%,40.3670235294761
qwen3-235b-a22b,39.58%,39.579086397964616
llama-4-maverick-17b-128e-instruct,39.06%,39.06132921255515
llama-3.3-70b-instruct,38.37%,38.366958733995865
gemma2-9b-it,38.18%,38.176675416
qwq-32b,35.67%,35.66878902003658
qwen3-32b,33.60%,33.603917188
gemma-2-9b-it,31.95%,31.952833069345626
palmyra-med-70b,31.59%,31.593387405
mistral-7b-instruct-v0.3,28.27%,28.26844745
gemma-2-27b-it,27.01%,27.012742482899306
seed-oss-36b-instruct,27.00%,26.99941211405165
gpt-oss-120b,20.07%,20.068602465053377
