Model,Similarity Score (%),Raw Score
qwen3-235b-a22b,31.94%,31.939821023940564
kimi-k2-instruct-0905,30.46%,30.4581947240269
deepseek-v3.1,28.46%,28.46121371539087
llama-3.1-405b-instruct,28.42%,28.424223070979764
mistral-7b-instruct-v0.3,26.60%,26.5963276
llama-3.3-70b-instruct,26.46%,26.464511755912895
mistral-medium-3-instruct,26.23%,26.22910998522792
palmyra-med-70b,25.72%,25.720763369999993
qwq-32b,25.70%,25.699682897451016
gemma-2-9b-it,25.53%,25.525237147745088
seed-oss-36b-instruct,25.38%,25.384662023717375
qwen3-32b,24.22%,24.216831236
gemma2-9b-it,24.21%,24.20767646
llama-4-maverick-17b-128e-instruct,24.03%,24.025873904998736
gpt-oss-120b,20.55%,20.547588903698173
gemma-2-27b-it,20.22%,20.22251579487146
