Model,Similarity Score (%),Raw Score
kimi-k2-instruct-0905,42.28%,42.27751394087329
gemini,39.21%,39.212928771972656
qwen3-235b-a22b,37.75%,37.754803018342145
qwq-32b,37.24%,37.24308706950257
claude,36.48%,36.48043441772461
mistral-medium-3-instruct,36.43%,36.42930024161544
gemma2-9b-it,35.57%,35.566771084
deepseek-v3.1,35.21%,35.214573182970824
llama-4-maverick-17b-128e-instruct,35.12%,35.1170435023831
seed-oss-36b-instruct,32.75%,32.75199158010293
llama-3.3-70b-instruct,32.42%,32.418959319430144
qwen3-32b,31.66%,31.6571619
mistral-7b-instruct-v0.3,31.02%,31.022050299999997
llama-3.1-405b-instruct,30.93%,30.93359404336857
gemma-2-27b-it,29.91%,29.913610321818574
gemma-2-9b-it,26.41%,26.409160523966086
palmyra-med-70b,24.76%,24.76429086
gpt-oss-120b,19.72%,19.719011730028456
chatgpt,0.00%,0.0
