Model,Similarity Score (%),Raw Score
kimi-k2-instruct-0905,74.37%,74.36555844863013
gemini,74.36%,74.36083984375
llama-4-maverick-17b-128e-instruct,74.27%,74.2722223944853
claude,73.98%,73.977294921875
chatgpt,73.80%,73.800537109375
llama-3.1-405b-instruct,71.37%,71.36530078786765
gpt-oss-120b,71.08%,71.0788482463603
mistral-medium-3-instruct,70.06%,70.05747889940476
deepseek-v3.1,69.10%,69.09918843979779
gemma-2-27b-it,65.76%,65.76139398670635
gemma2-9b-it,63.30%,63.2993166
llama-3.3-70b-instruct,62.17%,62.17425296351102
qwen3-235b-a22b,58.36%,58.3630795133272
gemma-2-9b-it,57.22%,57.22418902688492
palmyra-med-70b,49.72%,49.7249032
qwen3-32b,48.19%,48.192138636
seed-oss-36b-instruct,44.56%,44.562640202568424
qwq-32b,39.58%,39.578016628506326
mistral-7b-instruct-v0.3,34.86%,34.857450406
