Model,Similarity Score (%),Raw Score
palmyra-med-70b,41.61%,41.612383799999996
qwen3-32b,36.90%,36.898695816
gemma2-9b-it,36.09%,36.08611752
deepseek-v3.1,32.01%,32.01098629686725
qwen3-235b-a22b,29.46%,29.462076047791108
llama-4-maverick-17b-128e-instruct,26.15%,26.147588247185173
mistral-7b-instruct-v0.3,25.73%,25.72993053
mistral-medium-3-instruct,25.59%,25.586652244900826
kimi-k2-instruct-0905,25.03%,25.025640975710733
seed-oss-36b-instruct,24.85%,24.85135534260338
gemma-2-27b-it,24.11%,24.114258740460667
llama-3.1-405b-instruct,23.97%,23.97180153374008
llama-3.3-70b-instruct,23.60%,23.603604518689917
qwq-32b,21.82%,21.819923221799232
gemma-2-9b-it,21.61%,21.613868081088363
gpt-oss-120b,16.44%,16.442065412801803
