Model,Similarity Score (%),Raw Score
gemini-2.5-flash,42.57%,42.57254123687744
claude-sonnet-4-5,42.05%,42.05341466267903
gpt-4.1,39.05%,39.05337778727214
qwen3-32b,37.87%,37.871368333333336
palmyra-med-70b,35.12%,35.11857856
mistral-7b-instruct-v0.3,29.57%,29.567168749999993
gemma2-9b-it,29.44%,29.436979140000002
deepseek-v3.1,23.78%,23.781172748593104
kimi-k2-instruct-0905,23.58%,23.581350631323637
llama-4-maverick-17b-128e-instruct,22.94%,22.93526732676688
qwen3-235b-a22b,22.11%,22.106887791006745
gemma-2-9b-it,22.07%,22.07127816528131
seed-oss-36b-instruct,21.86%,21.855230874107452
llama-3.3-70b-instruct,20.09%,20.08856419298064
gemma-2-27b-it,18.79%,18.787345704026
qwq-32b,18.32%,18.3216046572203
llama-3.1-405b-instruct,17.46%,17.46034433500552
gpt-oss-120b,17.22%,17.22100241912472
mistral-medium-3-instruct,16.18%,16.17812533253358
