Model,Similarity Score (%),Raw Score
gemini-2.5-flash,26.88%,26.875035285949707
kimi-k2-instruct-0905,26.35%,26.3495863388399
claude-sonnet-4-5,23.97%,23.972311973571777
deepseek-v3.1,20.87%,20.867899921488682
gemma-2-9b-it,20.86%,20.85789583381735
gpt-4.1,19.56%,19.56105383237203
mistral-medium-3-instruct,18.47%,18.471175259637896
llama-4-maverick-17b-128e-instruct,18.35%,18.348034570931677
llama-3.3-70b-instruct,17.82%,17.815665777453468
seed-oss-36b-instruct,17.69%,17.68599770242455
gemma-2-27b-it,17.12%,17.121333632014597
gemma2-9b-it,17.04%,17.041052508
qwen3-32b,16.52%,16.515551082
qwen3-235b-a22b,14.93%,14.931321512073456
gpt-oss-120b,13.96%,13.961012699804101
qwq-32b,13.38%,13.3780577593533
llama-3.1-405b-instruct,13.11%,13.10787095478255
palmyra-med-70b,12.90%,12.8987774
mistral-7b-instruct-v0.3,11.51%,11.50641557
